GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Codec,org.apache.commons.codec.binary,Base64,1940,0,102,0,148,0,80,0,27,0
Apache Commons Codec,org.apache.commons.codec.binary,CharSequenceUtils,61,0,14,0,18,0,9,0,2,0
Apache Commons Codec,org.apache.commons.codec.binary,Base32InputStream,24,0,0,0,6,0,3,0,3,0
Apache Commons Codec,org.apache.commons.codec,StringEncoderComparator,36,0,0,0,14,0,3,0,3,0
Apache Commons Codec,org.apache.commons.codec,CharEncoding,3,0,0,0,1,0,1,0,1,0
Apache Commons Codec,org.apache.commons.codec,DecoderException,16,0,0,0,8,0,4,0,4,0
Apache Commons Codec,org.apache.commons.codec,EncoderException,12,4,0,0,6,2,3,1,3,1
Apache Commons Codec,org.apache.commons.codec,Charsets,35,0,4,0,9,0,6,0,4,0
Apache Commons Codec,org.apache.commons.codec.net,BCodec,146,0,20,0,44,0,24,0,14,0
Apache Commons Codec,org.apache.commons.codec.net,QCodec,362,0,42,0,104,0,38,0,17,0
Apache Commons Codec,org.apache.commons.codec.net,Utils,25,0,2,0,5,0,3,0,2,0
Apache Commons Codec,org.apache.commons.codec.net,QuotedPrintableCodec,535,0,82,0,123,0,66,0,25,0
Apache Commons Codec,org.apache.commons.codec.net,URLCodec,353,0,46,0,88,0,38,0,15,0
Apache Commons Codec,org.apache.commons.codec.net,RFC1522Codec,177,0,18,0,40,0,13,0,4,0
Apache Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine,700,0,44,0,113,0,35,0,12,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages.SomeLanguages,133,0,16,0,30,0,17,0,9,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages.new Languages.LanguageSet() {...},20,0,0,0,8,0,8,0,8,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages.new Languages.LanguageSet() {...},20,0,0,0,8,0,8,0,8,0
Apache Commons Codec,org.apache.commons.codec.language.bm,RuleType,48,0,0,0,8,0,3,0,3,0
Apache Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine.RulesApplication,103,0,10,0,28,0,10,0,5,0
Apache Commons Codec,org.apache.commons.codec.language.bm,NameType,48,0,0,0,8,0,3,0,3,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},19,0,0,0,4,0,2,0,2,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.Phoneme,106,0,0,0,20,0,11,0,11,0
Apache Commons Codec,org.apache.commons.codec.language.bm,BeiderMorseEncoder,109,0,4,0,28,0,12,0,10,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.PhonemeList,9,0,0,0,4,0,2,0,2,0
Apache Commons Codec,org.apache.commons.codec.language.bm,ResourceConstants,3,0,0,0,1,0,1,0,1,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Lang.LangRule,18,0,0,0,6,0,2,0,2,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages.LanguageSet,14,0,2,0,2,0,3,0,2,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.Phoneme.new Comparator() {...},44,0,8,0,10,0,6,0,2,0
Apache Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine.PhonemeBuilder,146,0,16,0,35,0,15,0,7,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},28,0,4,0,3,0,4,0,2,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages,131,0,14,0,29,0,13,0,6,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},11,0,0,0,2,0,2,0,2,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},11,0,0,0,2,0,2,0,2,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},25,0,4,0,2,0,4,0,2,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},26,0,4,0,2,0,4,0,2,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule() {...},88,0,0,0,12,0,2,0,2,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Lang,249,0,28,0,51,0,20,0,6,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},5,0,0,0,2,0,2,0,2,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},11,0,0,0,2,0,2,0,2,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},10,0,2,0,2,0,3,0,2,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,980,0,120,0,187,0,82,0,22,0
