package,start_time,end_time,input_tokens,output_tokens,model,raw
js-data-structures,1780771223.6623979,1780771229.562612,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
object.values,1780771229.562813,1780771230.787881,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config-nando,1780771230.788059,1780771232.039079,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
array.prototype.tosorted,1780771232.039262,1780771233.4881558,2360,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
scipy-doctest,1780771233.4883368,1780771234.7171772,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
project-x-ui,1780771234.717355,1780771235.946078,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
github.com/go-zoox/errors,1780771235.9462578,1780771237.17018,2360,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
bleujs,1780771237.170356,1780771239.017646,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
utils,1780771239.017807,1780771240.7570739,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
icons,1780771240.757247,1780771245.468239,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
utils,1780771245.4684129,1780771246.800481,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
lara-mg,1780771246.800663,1780771248.0295858,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
tooltip,1780771248.029753,1780771249.770025,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
shopify-cli,1780771249.7702012,1780771250.933717,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
carmen,1780771250.933887,1780771252.223783,2351,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
samaneha-ui,1780771252.223964,1780771253.7647538,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
nathan_utils,1780771253.7649322,1780771255.2991831,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
fameex-test,1780771255.2993522,1780771257.2435572,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config-base,1780771257.243736,1780771258.6791291,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
vemp-lib,1780771258.6792982,1780771259.906581,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
etherdata-react-ui,1780771259.906757,1780771269.939666,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
utils,1780771269.939842,1780771272.040422,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
arr-union,1780771272.040597,1780771273.58989,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
deep-equal,1780771273.590104,1780771275.042832,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": true}
```"
react-devtools-inline,1780771275.0430028,1780771276.573154,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config,1780771276.573313,1780771277.92686,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config-acw-base,1780771277.92703,1780771282.180824,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
sagemath-categories,1780771282.180994,1780771288.06767,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
core,1780771288.067873,1780771289.604543,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
safe-logger,1780771289.6047192,1780771290.752316,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
popover,1780771290.752501,1780771292.0397382,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
json-schema-ref-parser,1780771292.0399182,1780771293.391246,2360,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
bitfinex-dev,1780771293.39142,1780771294.622245,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
banner,1780771294.622422,1780771295.848626,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-plugin-styles,1780771295.848799,1780771299.410059,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
npm-pack,1780771299.410233,1780771300.865998,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
morgan,1780771300.866165,1780771302.142832,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
card,1780771302.143005,1780771304.245791,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-plugin-chai,1780771304.245972,1780771305.783055,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
prop-types-plus,1780771305.7832372,1780771307.419359,2358,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config-vue,1780771307.419534,1780771309.3667572,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
utils,1780771309.3669288,1780771310.7017548,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
cli,1780771310.701934,1780771311.8892548,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
print-cli,1780771311.889427,1780771313.7988338,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
fameex-dev,1780771313.798999,1780771315.0237901,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
pleasejs,1780771315.02396,1780771316.330322,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
dropdown-menu,1780771316.330492,1780771317.557803,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
routers,1780771317.557975,1780771318.978175,2352,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
preview,1780771318.978352,1780771321.6584032,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
react-tabs,1780771321.6585732,1780771322.883896,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config-vue,1780771322.884076,1780771324.2131588,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
jsonrpc-serializer,1780771324.213331,1780771325.9544718,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
bithumb-main,1780771325.9546509,1780771327.2860239,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
relayer-utils,1780771327.286189,1780771328.82201,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
stablediffusionapi/thinkdiffusionxl,1780771328.822179,1780771330.152771,2368,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-plugin-script-tags,1780771330.152949,1780771331.327116,2358,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
react-native-remote-svg,1780771331.3272882,1780771332.6103308,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config-bamboo,1780771332.610516,1780771334.65836,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config-vue,1780771334.6585631,1780771335.8404338,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
date,1780771335.8406138,1780771337.116823,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
deepcoin,1780771337.1169899,1780771338.549301,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
debounce,1780771338.5494668,1780771339.6730728,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
abab,1780771339.673245,1780771340.992213,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
sanitize,1780771340.992376,1780771342.649533,2352,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
tag,1780771342.649698,1780771343.976716,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config-msk,1780771343.976886,1780771345.015154,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
maina-cli,1780771345.015321,1780771346.331476,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
audiobuffer,1780771346.33166,1780771347.662796,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
binding-win32-x64-msvc,1780771347.663032,1780771348.891658,2364,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
typed-array-buffer,1780771348.891822,1780771350.222883,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
microsoft.framework.caching.distributed,1780771350.2230568,1780771351.451704,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": true}
```"
code,1780771351.451888,1780771352.784162,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
core,1780771352.784339,1780771369.985844,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
ai-agent-client,1780771369.98602,1780771371.317364,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
scipy-openblas64,1780771371.3175411,1780771372.603114,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
util,1780771372.603295,1780771373.8776069,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
plugin-config,1780771373.8777852,1780771375.107591,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
types,1780771375.1077719,1780771377.973216,2352,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
i18n,1780771377.973382,1780771379.6119459,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
ChrisWilson010101/5GseTsnUzgPzwyTi7N9SXLtMVj2wvfZZVDvxGvMh4reBP8sN_vgg,1780771379.6121228,1780771380.742284,2408,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
opentelemetry-instrumentation-bull,1780771380.742468,1780771381.8658292,2363,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config-tjw-base,1780771381.866001,1780771383.195957,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
obojobo-chunks-question,1780771383.1961238,1780771384.424087,2358,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config,1780771384.4242718,1780771385.752486,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
enqueue,1780771385.7526631,1780771387.496278,2352,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
typed-array-byte-length,1780771387.496452,1780771393.537895,2361,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
react-utilities,1780771393.538101,1780771394.971159,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
island-mine-web3-beneath,1780771394.971329,1780771396.405111,2358,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
react-progress,1780771396.405281,1780771397.532712,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config-tidal,1780771397.5328808,1780771398.760007,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
json-web-token,1780771398.760177,1780771399.88451,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
mypluralize,1780771399.8846788,1780771401.665986,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
tencentcloud-sdk-nodejs-tic,1780771401.666193,1780771402.856464,2360,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
string.prototype.includes,1780771402.856618,1780771404.085611,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
util.promisify,1780771404.085771,1780771405.364866,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
getui-sdk,1780771405.365016,1780771406.645827,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
base,1780771406.646005,1780771407.871239,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-plugin-yaml,1780771407.871422,1780771409.921049,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
ouroboros-hf-text-generation,1780771409.921221,1780771411.068455,2361,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
checkbox,1780771411.0830998,1780771412.189775,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
modal,1780771412.1899362,1780771413.410605,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
react-table,1780771413.410771,1780771414.734006,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
skeleton,1780771414.734179,1780771416.0680928,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
fdf,1780771416.068268,1780771417.2444139,2352,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
deep-equal,1780771417.244589,1780771419.0353339,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config-base,1780771419.035511,1780771420.292135,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
github.com/kotyi/kernal,1780771420.292301,1780771421.4531798,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
vertql,1780771421.453357,1780771422.926553,2352,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config-sc-react,1780771422.926719,1780771424.258052,2358,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
chi-matches,1780771424.258234,1780771425.58964,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
jupybeans,1780771425.589819,1780771427.609594,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint,1780771427.609766,1780771428.8651211,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
harmony-reflect,1780771428.865292,1780771430.6067991,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
cspell-dict-golang,1780771430.606974,1780771432.0490398,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
rand-omata,1780771432.049212,1780771433.167365,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
is-string,1780771433.167587,1780771434.497473,2358,18,claude-sonnet-4-6,"```json
{""is_typosquat"": true}
```"
ydb-core-protobuf,1780771434.497646,1780771435.7259898,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
ChrisWilson010101/5DtHymom4Md2EiPwwN8GJ7ztRHfNQutrHkeyw9WfftgpFnLR_vgg,1780771435.726173,1780771437.186921,2405,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
core,1780771437.187107,1780771438.802331,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
use-rest-api,1780771438.8025112,1780771439.9990668,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
esbuild-plugins-node-modules-polyfill,1780771439.9992409,1780771441.460433,2363,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
api,1780771441.460659,1780771442.6896052,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
react-native-country-code-list,1780771442.689779,1780771443.918253,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
solve,1780771443.918432,1780771445.2513862,2351,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
path.join,1780771445.2515562,1780771446.579993,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": true}
```"
rollup-plugin-serve-bq,1780771446.580168,1780771447.777142,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
typed-array-length,1780771447.777344,1780771449.040072,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
ChrisWilson010101/5FPFcTEy9qQeZViNMAB15NzPMWFYkhDMHxv4dJYKqo73ZNRV_vgg,1780771449.040231,1780771450.472971,2407,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
hive-exec,1780771450.473142,1780771451.7993941,2360,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
cli,1780771451.799562,1780771453.134583,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
spinjs,1780771453.134749,1780771454.4655318,2352,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
decoder-validate,1780771454.465695,1780771455.898761,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
runwork-help,1780771455.8989282,1780771457.2307782,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
react-native-test-my-app1,1780771457.2309482,1780771458.4589708,2360,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
cli,1780771458.4591439,1780771460.0984561,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
kedo-ddtrace,1780771460.098627,1780771461.324191,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
pyhustler,1780771461.324358,1780771462.437582,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
harder-rear-settle6,1780771462.4377532,1780771464.762094,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
check-path,1780771464.762264,1780771466.639383,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
actml,1780771466.6395772,1780771468.49459,2352,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
runtime-core,1780771468.494782,1780771469.824607,2358,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
api,1780771469.824778,1780771471.154887,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
demo-model,1780771471.155082,1780771472.383168,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
date,1780771472.383353,1780771473.885025,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
utils,1780771473.885194,1780771475.8669739,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
cli,1780771475.867149,1780771477.198564,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
markdown-it-katex,1780771477.198741,1780771478.62557,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
elasticsearch,1780771478.6257439,1780771480.3719099,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
utils-core,1780771480.372087,1780771482.0104809,2358,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
array.prototype.foreach,1780771482.010653,1780771483.455262,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
htmlbuilder,1780771483.455455,1780771484.876832,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
elasticsearch,1780771484.877022,1780771487.846754,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
prefixed-api-key,1780771487.8469272,1780771489.180418,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
is-string,1780771489.180592,1780771491.023227,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": true}
```"
sentry-node,1780771491.0233989,1780771492.192996,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
brotli-fsize,1780771492.1931741,1780771493.378162,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
onnx2kerastl,1780771493.378338,1780771494.4397361,2358,18,claude-sonnet-4-6,"```json
{""is_typosquat"": true}
```"
auth,1780771494.43991,1780771495.6343522,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config,1780771495.634531,1780771497.0642502,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
autocomplete-shared,1780771497.064419,1780771506.690666,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
string.prototype.trimstart,1780771506.69083,1780771507.921751,2360,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-plugin-bud,1780771507.921952,1780771509.22401,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
furious-commander,1780771509.224179,1780771510.4598248,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
jest,1780771510.4599922,1780771512.12698,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
dacc,1780771512.1271439,1780771513.653953,2352,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
ya-retry,1780771513.6541178,1780771514.778208,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
nodejs-base64-encode,1780771514.778384,1780771516.621251,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
license-checker,1780771516.6214132,1780771518.568311,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
aidoku-logcat,1780771518.568483,1780771519.79723,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
pulp-cookbook-client,1780771519.7974012,1780771521.129987,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
beta9,1780771521.130154,1780771522.356423,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
uri-template,1780771522.3565829,1780771523.448673,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
ChrisWilson011016/5D8BVCv5pHnbBkv3K2WBj2eUCy2ERCuU3N8YQuyVu5MqDkSx_vgg,1780771523.4488409,1780771525.5280719,2410,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
display,1780771525.528244,1780771526.862284,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
winston-dashboard-vue,1780771526.862464,1780771528.4323041,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
gitget,1780771528.43248,1780771529.5491168,2352,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
d8s-ip-addresses,1780771529.54929,1780771535.568619,2358,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
liquid-glass-vue,1780771535.568801,1780771536.896487,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
react-google-static-map,1780771536.896658,1780771538.2415009,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
