type,name,namespace,is_typosquat
npm,skeleton,@spark-ui,False
npm,fdf,,False
npm,deep-equal,@nolyfill,False
npm,eslint-config-base,@cpsoinos,False
golang,github.com/kotyi/kernal,,False
npm,vertql,,True
npm,eslint-config-sc-react,,False
npm,chi-matches,,False
pypi,jupybeans,,False
npm,eslint,@qasconfig,True
npm,harmony-reflect,,False
npm,cspell-dict-golang,,False
pypi,rand-omata,,False
npm,is-string,@flt-ui2,True
pypi,ydb-core-protobuf,,False
huggingface,ChrisWilson010101/5DtHymom4Md2EiPwwN8GJ7ztRHfNQutrHkeyw9WfftgpFnLR_vgg,,False
npm,core,@encifher-js,False
npm,use-rest-api,,False
npm,esbuild-plugins-node-modules-polyfill,,False
npm,api,@hiyllo,False
npm,react-native-country-code-list,,False
npm,solve,,False
npm,path.join,,True
npm,rollup-plugin-serve-bq,,False
npm,typed-array-length,@nolyfill,False
huggingface,ChrisWilson010101/5FPFcTEy9qQeZViNMAB15NzPMWFYkhDMHxv4dJYKqo73ZNRV_vgg,,False
maven,hive-exec,org.apache.hive,False
npm,cli,@stedi,False
npm,spinjs,,False
npm,decoder-validate,,False
npm,runwork-help,,False
npm,react-native-test-my-app1,,False
npm,cli,@enschedule,False
pypi,kedo-ddtrace,,True
pypi,pyhustler,,False
npm,harder-rear-settle6,,False
npm,check-path,,False
npm,actml,,False
npm,runtime-core,@xj-fv,True
maven,api,io.keploy,False
npm,demo-model,,False
npm,date,@teamturing,False
npm,utils,@orbifold,False
npm,cli,@rdyl,False
npm,markdown-it-katex,@traptitech,False
npm,elasticsearch,@tryghost,False
npm,utils-core,@zelgadis87,False
npm,array.prototype.foreach,@nolyfill,False
pypi,htmlbuilder,,False
maven,elasticsearch,org.elasticsearch,False
npm,prefixed-api-key,,False
npm,is-string,@f,True
npm,sentry-node,,False
npm,brotli-fsize,,False
pypi,onnx2kerastl,,True
npm,auth,@operato,False
npm,eslint-config,,False
npm,autocomplete-shared,@kumoai,False
npm,string.prototype.trimstart,@nolyfill,False
npm,eslint-plugin-bud,,False
npm,furious-commander,,False
npm,jest,@fastci,True
npm,dacc,,False
npm,ya-retry,,False
npm,nodejs-base64-encode,,False
npm,license-checker,@metamask,False
npm,aidoku-logcat,,False
pypi,pulp-cookbook-client,,False
pypi,beta9,,False
pypi,uri-template,,False
huggingface,ChrisWilson011016/5D8BVCv5pHnbBkv3K2WBj2eUCy2ERCuU3N8YQuyVu5MqDkSx_vgg,,False
npm,display,@leafer,False
npm,winston-dashboard-vue,,False
npm,gitget,,False
pypi,d8s-ip-addresses,,False
npm,liquid-glass-vue,,False
npm,react-google-static-map,,False
npm,cspell-dict-es-es,,False
pypi,bbot,,False
npm,tria-sdk-web-dawn,,False
pypi,qtoml,,False
npm,array.prototype.findlastindex,@nolyfill,False
npm,ts-type-safe,,False
npm,crack-ux,,False
npm,create-deft,,False
npm,form,@uxf,False
npm,otp-input-react,,False
huggingface,ChrisWilson011016/5CAUJQcv9sYMqXwDE2rQuazZk1NwkLoGSknPBfvMUjocySY7_vgg,,False
npm,chip,@jamsr-ui,False
npm,release,,False
npm,jscore,@barsanovinray,False
npm,tokenizers-js,@bluryar,False
npm,cspell-dict-software-terms,,False
golang,github.com/go-slash/captcha,,False
npm,liusc-utils,,False
npm,typenode,,False
npm,ip2country,,False
npm,react-exo,,False
npm,nubomed-ui,,False
npm,eslint-plugin-ow3,,False
npm,stylelint-config-neon-order,,False
pypi,extractous,,False
npm,http-request,,False
npm,tanker-ts-i18n,,False
npm,vdkweb-utils,,False
npm,core,@snmt-react-ui,False
npm,react,@oakjs,True
npm,ui,@montelo,False
golang,github.com/farseer-go/redis,,False
npm,kodiak2k,,False
npm,babel-preset-typescript,,False
npm,fell-firm-add,,False
npm,api,@inexture,False
npm,xastscript,,True
npm,eslint-config-ts,@icebreakers,False
npm,commons-compress,@vimlet,False
npm,eslint-config-api,,False
npm,mexc-test,,False
npm,gawk,,False
npm,safe-regex-test,@nolyfill,False
pypi,pytest-services,,False
npm,tsconfig,@ckvv,False
npm,gith4ck,,False
npm,react-utils,@saas-ui,False
npm,snsoft-lib,,False
npm,serializer,,False
npm,color-plenty-lack9,,False
huggingface,FL33TW00D/whisper-medium,,False
npm,http-i18n,,False
npm,is-bigint,@types,False
npm,subscribe,@medeity,False
npm,base,@gnyio,False
gem,deface,,False
npm,reflect.ownkeys,@nolyfill,False
npm,deffy,,False
npm,use-wallet-beta,,False
npm,fate-cli,,False
npm,create-arnav-app,,True
npm,eslint-config-ao-legacy,,False
npm,eslint-config,@askluna,False
npm,sp-sdk,@ethsign,False
pypi,sgraph,,False
npm,hic-iusto,@kollorg,False
npm,utils,@iyulab,False
npm,react-dom-factories,@types,False
npm,utils,@finalapp,False
npm,0,,False
npm,import-sort-style-delicious,,False
pypi,sqlite-xsv,,False
npm,is-generator-function,@nolyfill,False
npm,thales-utils,,False
npm,api,@merkl,False
npm,cspell-dict-cpp,,False
npm,jsonschema,,False
npm,assert,@gaiiaa,True
huggingface,VladDoc/model,,False
npm,counterfact,,False
npm,json-schema,@criteria,True
npm,oribuild-linux-arm64,,False
npm,modals,@inexture,False
npm,react,@tello-ui,True
npm,row,@svelement-ui,False
gem,aws-graph,,False
pypi,liftover,,False
npm,nekos-js,,False
npm,evaluators,@nocobase,False
npm,eslint-plugin-prettier,@cailiao,True
npm,watcher,@teambit,False
npm,apidi-plugin-hapi,,False
npm,is-core-module,@nolyfill,False
npm,de-cent-ts-linux-x64-gnu,,False
pypi,wierdpkg,,False
npm,snke,,False
npm,base112,,False
npm,codecs,,False
golang,github.com/ipld/go-car,,False
npm,imatrix-mobile-lib,,False
npm,typedarray,@nolyfill,False
npm,is-executable,,False
huggingface,ChrisWilson010101/5D8BVCv5pHnbBkv3K2WBj2eUCy2ERCuU3N8YQuyVu5MqDkSx_vgg,,False
gem,hiu_auth,,False
npm,emoji-logger,,False
golang,github.com/go-zoox/i18n,,False
gem,execgem,,False
npm,tson-socket-stream,@syncot,False
npm,original,@types,False
pypi,tower-cli,,False
npm,bootpag,@types,False
npm,deep-equal,@types,False
npm,clearly-fresh-sad-tail,,False
npm,sabil-js-sdk,,False
npm,utils,@tmagic,False
npm,discord.js-sound,,False
npm,eslint-plugin-cvsdk-rules,,False
npm,eslint-config-ts,@dohooo,False
npm,data-fns,,True
npm,breadcrumbs,@mabi-ui,False
npm,magnoli-types,,False
npm,icons,@talismn,False
npm,sizeof,,False
npm,base,@inexture,False
npm,zod,@conform-to,False
npm,eslint-config-think,,False
npm,keep-frozen-web3-on,,False
nuget,benchmarker,,False
npm,eslint-config-lemon,,False
npm,commitlint-config-angular,,False
npm,swell-storefront,,False
npm,object-keys,@types,False
npm,utils,@easyest,False
npm,string.prototype.trim,@nolyfill,False
npm,fs-routers,,False
npm,checkbox,@purpurds,False
npm,core-i18n,@thatweb,False
npm,eslint-config-ts,@benewy,False
golang,github.com/stripe/goproxy,,False
npm,anteros-react,,False
npm,alscontext,,False
npm,easyme,,False
npm,eslint-config-mother,,False
npm,radio,@destyler,False
npm,eslint-plugin-react-native-wix,,False
npm,gulp-plugin-prettier,,False
npm,vue-data-ui,,False
npm,toobit-dev,,False
npm,ryuu.js,,False
npm,syncopate,,False
npm,ui,@tokens-studio,False
npm,string.prototype.replaceall,@nolyfill,False
npm,kraken-dev,,False
huggingface,ChrisWilson010101/5CMfwZ6tMWNYa2VoSdXA5FS5X4sAkWaH3CNjA1rL78tNXNkn_vgg,,False
npm,jancok1995,,False
npm,harmony-reflect,@nolyfill,False
npm,pikd-utils,,False
npm,cuirk,,False
npm,editor,@ulld,False
npm,has-symbols,@nolyfill,False
pypi,dictop,,False
pypi,robocorp-flet-core,,False
gem,uber,,False
npm,confluent-schema-registry,,False
npm,core,@plume-ui-react,False
pypi,curio,,False
pypi,timeparser,,False
npm,fill-range,@types,False
npm,gulp-sass-newer,,False
pypi,wgstolest,,False
npm,find-pkg-dir,,False
npm,wzhuan-utils,,False
npm,acolor,,False
npm,altek-ui,,False
npm,eslint-config-ricepo-base,,False
npm,crf-ui,,False
pypi,lingora,,False
huggingface,ChrisWilson011016/5DyFEkqTWRoH4zEAQDmmKH5vLYk3u7QFcyfAhWawtx3nc6Gu_vgg,,False
npm,eslint-config-vue,@damilaredev,False
npm,gl-react-dom,@types,False
npm,icons,@peili-ui,False
npm,ui,@flyde,False
npm,cocreate-dnd,,False
npm,eslint-config-webkom,,False
pypi,up-test,,False
npm,mark-back0,,False
npm,utils,@cclr,False
npm,api,@pixli,False
npm,eslint-plugin-lwr,,False
npm,custom-error-class,,False
npm,oms-moddle-xml,,False
npm,autocomplete-core,,False
npm,tween.js,,False
npm,in-count-web3-every,,False
npm,expo,@knocklabs,False
npm,eslint-plugin-ate,,False
npm,is-boolean-object,@types,False
npm,cap-cli,,False
npm,breadcrumb,@altimex-ui,False
npm,utils,@ruabick,False
npm,merge-options,@dozerg,False
npm,log,@auto,False
npm,filigran-ui,,False
npm,forms,@types,False
nuget,nforza.cyrus.typedids,,False
npm,zafrul-lib,,False
npm,tria-sdk-core,,False
npm,ng-form-factory,,False
npm,is-string,@jsmicro,False
npm,ag-bundle,,False
npm,eslint-plugin-chameleon,,False
pypi,deepseek-client,,False
npm,cornify,,False
npm,cspell-dict-de-de,,False
npm,simpli-ai-assistant-ui,,False
npm,react-checkbox,,False
pypi,oren-v1-pack,,False
npm,beat-earn-web3-duty,,False
npm,assert,@notdutzi,True
npm,basic,@certd,False
npm,discord.js-setup,,False
npm,which-typed-array,@nolyfill,False
npm,web-live-sdk,,False
pypi,ptipython,,True
gem,tamalw-crack,,False
pypi,acryl-datahub-cloud,,False
npm,icons,@fle-ui,False
npm,qimagemagick,,True
npm,object-is,@nolyfill,False
npm,eslint-config-vue,@fanv,False
npm,json-schema-to-joi,,False
npm,mongodb-paginate,,False
npm,react-selectrix,,False
npm,error-utils,,False
npm,is-shared-array-buffer,@nolyfill,False
npm,base-sdk,@heliosphere,False
npm,gummy-cli,,False
npm,es-iterator-helpers,@nolyfill,False
npm,eslint-config-neon,,False
npm,react-seo-breadcrumb,,False
pypi,dexonlineparser,,False
npm,is-typed-array,@nolyfill,False
npm,utils,@dodoex,False
npm,vostok-auth-refresh,,False
pypi,furechan,,False
npm,usaa-wdio-utils,,False
maven,jaul,com.github.antonsjava,False
npm,opoa,,False
npm,js-svg-path,,False
npm,dotignore,@ashejuniper,False
npm,xoj,,False
npm,ngf-bootstrap,,True
npm,icons,@uspk-ui,False
npm,totology-components,,False
npm,editor,@ones-editor,False
npm,utils,@darkpos,False
npm,environment,@holographxyz,False
pypi,beam-client,,False
npm,bun,@types,False
npm,skeleton,@nkey-ui,False
npm,konami-codes,@arsams,False
npm,hic-alias,@kollorg,False
npm,gome-js-beautify,,True
npm,preview,@symbo.ls,False
npm,switcher,@rescui,False
pypi,moose-lib,,False
npm,vue-virtual-collection,,False
npm,mongodb,@mikro-orm,False
npm,core,@forml,False
npm,react-bootstrap-buttons,,False
npm,inquirer-file-path,,False
npm,semi-json-viewer-core,@douyinfe,False
pypi,zaide,,False
npm,nestjs-base,,False
npm,eslint-plugin-udemy,,False
npm,ngx-dropfiles,,False
npm,ngx-mat-timepicker,@auronet.timepicker,True
pypi,docrepr,,False
npm,pontx-ui,,False
pypi,azmusicapi,,False
gem,webspec,,False
npm,flive-ui,,False
npm,eslint-plugin-segment-security,,False
npm,eslint-plugin-twofold,,False
npm,acidy-ui,,False
npm,opn,,False
pypi,pyyaml-env-tag,,False
npm,eslint-config-lisbon,,False
npm,cosmi,,False
npm,hidden-furniture-money-minute,,False
npm,react-scripts,@raegen,True
npm,eslint-config-xo-preact,,False
npm,vm2-process,,False
npm,ast-monkey,,False
npm,sitecap,,False
npm,object.getownpropertydescriptors,@nolyfill,False
npm,warbeast2000,,False
npm,react-utils,@webbo-ui,False
npm,eslint-config,@cloudpss,False
npm,typography,@lendi-ui,False
npm,yhl-utils,,False
npm,eslint-plugin-bpmn-io,,False
golang,github.com/jaerk/kernal,,False
npm,serverless-obsession,,False
npm,express-oauth2-jwt-bearer,@sirzeta,True
npm,create-dacc,,False
npm,core,@fourtune,False
npm,later-composition-bone-cage,,False
npm,har-down,,False
npm,node-yaml,,False
npm,hooks,@aidc,False
npm,oxlint,,False
npm,node-cidr,,False
npm,abase,,False
pypi,attrdict3,,False
npm,bitcore-payment-protocol-excc,,False
npm,object.hasown,@nolyfill,False
npm,babel-helper-annotate-as-pure,,False
npm,slime-view-core,,False
npm,echarts-signlog,,False
npm,set-function-length,@nolyfill,True
npm,pbt-properties,,False
npm,types,@vues3,False
npm,minidenticons,,False
npm,utils,@solanafm,False
npm,eslint-config,@ririd,False
golang,github.com/winggao/errors,,False
npm,ui,@vek-element,False
npm,database,@nocobase,False
npm,tedious-friendly,,False
npm,notiad-sdk,@types,False
npm,react-i18n-lite,,False
npm,eslint-config-hewx,,False
pypi,brotli,,False
npm,ts-glitter,,False
pypi,timeslib,,False
npm,eslint-config-noclip,,False
npm,eslint-plugin-deprecate,,False
npm,intl,@neumatter,False
npm,hostile,@types,False
npm,hooks,@speedlo,False
pypi,blau,,False
npm,stylelint-config-bod,,False
npm,cli-freind,,True
npm,eslint-config-airbe,,True
npm,eslint-config-vegas,,False
pypi,composabl-core-dev,,False
npm,array.prototype.at,@nolyfill,False
npm,stylished-components,,True
npm,springuper-winston-daily-rotate-file,,False
npm,react-native-videoplayer,,False
npm,core,@aarc-dev,False
npm,music-ui,,False
npm,base,@mmxzjw,False
npm,core,@porter-js,False
npm,general-library-taste,,False
npm,is-arguments,@nolyfill,False
npm,regexp.prototype.flags,@types,False
npm,lib,@shuu1992,False
npm,html-to-pdf-js,,False
npm,temp-write,@lerna,False
npm,api,@mna,False
npm,wwwtea,,False
npm,node-redshift,@vita-mojo,False
npm,vite-plugin-imagemin-vv,,False
npm,cesiumjs,,True
golang,github.com/lxmgo/beego,,True
golang,github.com/spfl13/pflag,,True
npm,react-native-gifted-charts-sai,,True
npm,react-search-autocomplete-v3,,False
npm,buffer-hor,,False
npm,react-verification-code-input,@ghranek,False
npm,gnosis-safe,@web3-react-x,False
npm,babel-plugin-transform-export-namespace,,False
npm,stream-chat-react-native-core-tyket,,False
npm,qrcode.vue,@wishknish,False
npm,rollup-plugin-hotreload,,False
npm,icons-react,@ldesign,False
npm,customs-aloud,,False
npm,keystores-node,@meer-js,False
npm,vue-i18n,@citygro,False
npm,v3-core,@ariswap,True
huggingface,silvercoder45/Mistral-7b-instruct-v0.2-summ-sft-e2m,,False
npm,okxweb3,,False
npm,babylon-walker,,False
pypi,configpp,,False
npm,alpha-order,,False
npm,react-pivottable-secondary,,False
huggingface,NbAiLabBeta/nb-whisper-medium,,False
npm,node-graceful,@unboundedsystems,False
npm,react-recaptcha-v3,@chaitanyapotti,False
npm,readline-promises,,False
npm,http-errors-handler,,False
npm,romanum,,False
npm,boaproject-transactions,,False
npm,sleap,,False
npm,svg-captcha-hhhhhhhhh,,False
npm,react-smart-banner-app,,False
npm,exif-js,@remove-bg,True
npm,vue-renderer,@rsnuxt,False
nuget,bimlab.nuke,,False
npm,bootstrap-nabtraderedesign,,False
npm,l1b,,False
npm,web3-fruit,,False
npm,eth-method-registry,@alayanetwork,True
npm,tsc-watch,@llllvvuu,False
pypi,aplus,,False
npm,slash2,,True
npm,weex-dev,,False
npm,blue-jest,,False
npm,pop-jinqu-liji1,,False
nuget,microsoft.faster,,True
npm,vue-number-animation,@opentiny,False
npm,crypto,@meer-js,True
golang,github.com/xiu/sftp,,True
npm,vue-dia,,False
npm,language-babel,,False
npm,multer2,,True
npm,js-format-money,,False
npm,types,@mysentry,False
npm,css-unit-conversion,,False
npm,ng2-smart-table,@kazzkiq,False
npm,intersock,,False
npm,vue-slider-component-bw,,False
pypi,mpldatacursor,,False
npm,async-line-reader,,False
maven,aether-connector-file,org.sonatype.aether,False
golang,github.com/xorm-io/builder,,False
npm,odderon-knex,,False
npm,eslint-plugin-bdd,,False
golang,github.com/shopsprint/decimal,,True
npm,posthog-js,@dts,True
npm,serverless-offline,@conio,True
npm,react-dom-resize-observer,,False
npm,react-facebook-login-button,,False
npm,discord-selfbot-v12,,False
npm,dusame-fulfillment-manual,,False
npm,azure-arm-servicefabricmesh-samples-ts-beta,,False
pypi,validdocbr,,False
npm,react-syntax-highlighter,@fengkx,False
npm,vue-app,@rsnuxt,False
npm,perf-ai-form-recognizer,,False
npm,stlintreact,,True
npm,prettier,@typescript_eslinter,True
npm,migg-sessionsvc,,False
npm,photography-pro-gallery,,False
npm,feast-css,,False
npm,bindist,,False
npm,builde,,True
npm,mini-css-extract-plugin-celeste-duplex-rocket,,False
npm,react-displays,@morningtrain,False
npm,mime-helper,,False
npm,axois,,True
huggingface,corto-ai/nomic-embed-text-v1,,True
npm,mersennetwister,,False
npm,angular-ngx-autocomplete,,False
npm,azure-template,,False
pypi,aiohttp-socksx,,False
npm,v2-core,@ariswap,False
npm,chartjs-chart-matrix,@hitaspdotnet,False
npm,tobo-cordova-plugin-inappbrowser,,True
golang,github.com/spfl13/cobra,,True
npm,musky,,False
npm,mini-css-extract-plugin-ursa-zenobia-mira,,False
npm,snore-log,,False
npm,metascraper-logo-favicon,@plaa,True
npm,utils,@suijian,False
npm,own-version,,False
npm,gulp-downloads,,False
npm,tasklogger,@essex,False
npm,eslint-config-standard-react,@liutsing,True
npm,av-expo-barcode-scanner,,False
npm,image-editor,@antscorp,False
npm,apollo-link-refresh-token,,False
pypi,bindepend,,False
npm,intl-tel-input,@mdfe,True
npm,sql-formatter-plush,,True
npm,unserialize,,False
npm,iconsax-reactjs,,True
npm,idex,,False
npm,components-advanced,@rtarojs,False
golang,github.com/boltdb-go/bolt,,True
npm,dzdp,,False
npm,itype,,False
npm,ts-patch-mongose,,True
npm,react-native-firebase-messaging,,False
npm,buffer-yor,,False
npm,discord.js-selfbot-dmall-v13,,True
gem,hooks,,False
npm,discord.js12.5.3,,True
npm,segmented-control-rn,,False
npm,shared-ini-file-loader,,False
pypi,lytekitplugins-pods,,True
gem,rspec-parameterized-core,,False
pypi,dataeval,,False
npm,jake-horizon,,False
npm,solidity-comments-extractors,,False
golang,github.com/pion/webrtc/v3,,False
npm,react-native-swipeable-lists,,False
npm,echarts-snack,,False
npm,buffer-xoz,,False
npm,cost-led,,False
npm,next-bundle-analyzer,,False
npm,better-koa-session,,False
npm,nodmeon,,True
npm,trialzen-react-pivottable,,False
npm,eslint-plugin-diff,@maxerbox,False
npm,bowserify,,True
golang,github.com/sofa-security/trivy,,True
nuget,dotnetcore.natasha.csharpcompiler,,False
npm,iron-silence-my5,,False
npm,html2canvas,@cantoo,True
npm,node-smtp-mailer,,False
npm,ethers,@vechain,True
pypi,iolite,,False
npm,raect,,True
npm,reedux,,True
npm,guru,,False
npm,core,@desia,False
npm,react-native-cameras,,True
npm,aws-sdk,@webiny,True
npm,babel-eslint-parser,,True
npm,protractor-jasmine2-screenshot-report,,False
npm,react-html2pdf.js,,True
npm,filtrex,@wmakeev,False
npm,chartjs-plugin-crosshair,@omgduke,False
npm,json-viewer-vue3,,False
npm,camelcasify,,False
npm,bootstrap-just-css,,False
npm,donkey-puppeteer-core,,True
npm,gate-dev,,False
pypi,jaqmc,,False
npm,npm-cnof,,True
npm,ngx-infinite-scroll-fixed,,False
npm,hardhat-deploy-others,,False
npm,reacta-ollo,,False
npm,schibsted-ufo,,False
npm,seo-pwa,,False
npm,azure-event-hubs-browser,,False
npm,dazaar-resolve,,False
npm,api-discord.js-v14,,True
npm,sdm.vendor.lds,,False
npm,axios-oauth,,False
npm,sbb-esta,,False
npm,zzh-layout,,False
npm,bank_cron,,False
npm,left-pad-browser,,False
npm,eva.io-core,,False
npm,prettyby6es,,False
npm,ts-patch-moongoose,,True
npm,schibsted-style,,False
npm,bernie-core,,False
npm,react-data-grid-eppsta,,False
npm,loaddash,,True
npm,ts-patch-mongoos,,True
npm,runtlcontribconcat,,True
npm,graprqltag,,True
npm,aysa-web-core,,False
npm,crossfetkh,,False
npm,middleware-proxy,,False
npm,runkit-engines,,False
pypi,sqlmap,,False
npm,sjcl-extended,,False
npm,pcln-types,,False
npm,apl-client,,False
npm,hardhat-gas-optimizer,,False
npm,js.cookie,,True
npm,4keylpress,,True
npm,testepocdep,,False
npm,sch-frontend-integration,,False
npm,fuffer-xor,,True
npm,serverless-yandex-cloud-template,,False
npm,buffer-xop,,False
pypi,loggi,,True
npm,eslint-config-frantic1048,,False
pypi,tlsclient3,,False
pypi,xia-engine-mysql,,False
npm,bsc-library,,False
