issue_id,pred_score,true_label
1329147554,0.72,1
1333178643,0.08,0
1336452733,0.72,1
1336666723,0.62,1
1342864068,0.08,0
1344999650,0.12,0
1345038447,0.12,1
1352488799,0.62,1
1367665070,0.74,1
1367952424,0.05,0
1410633955,0.05,0
1418948680,0.88,1
1428767280,0.72,1
1438445851,0.1,0
1444064267,0.05,0
1444401730,0.82,1
1450071740,0.35,1
1460199132,0.08,0
1460609595,0.08,0
1461489700,0.95,1
1465542800,0.22,0
1518732705,0.04,0
1527548744,0.12,0
1530248637,0.08,1
1615814220,0.04,0
1616936787,0.55,1
1636711509,0.82,1
1656648971,0.05,0
1659625133,0.85,1
1665591134,0.55,1
1686001128,0.04,0
1687989535,0.72,1
1862070893,0.05,0
1886564677,0.05,0
1943190932,0.72,1
1958701035,0.74,1
1966006847,0.03,0
1970711596,0.04,0
2009047745,0.05,0
